Combination	Num_Genes	Count	Frequency(%)
Z2098/espK/espN/stx2/subA	5	0	0.0
Z2098/espK/espN/subA/ureD	5	0	0.0
Z2098/espK/espV/stx1/subA	5	0	0.0
Z2098/espK/espV/stx2/subA	5	0	0.0
Z2098/espK/espV/subA/ureD	5	0	0.0
Z2098/espK/stx1/stx2/subA	5	0	0.0
Z2098/espK/stx1/subA/ureD	5	0	0.0
Z2098/espK/stx2/subA/ureD	5	0	0.0
Z2098/espN/espV/stx1/subA	5	0	0.0
Z2098/espN/espV/stx2/subA	5	0	0.0
Z2098/espN/espV/subA/ureD	5	0	0.0
Z2098/espN/stx1/stx2/subA	5	0	0.0
Z2098/espN/stx1/subA/ureD	5	0	0.0
Z2098/espN/stx2/subA/ureD	5	0	0.0
Z2098/espV/stx1/stx2/subA	5	0	0.0
Z2098/espV/stx1/subA/ureD	5	0	0.0
Z2098/espV/stx2/subA/ureD	5	0	0.0
Z2098/stx1/stx2/subA/ureD	5	0	0.0
aggR/eae/espK/espN/espV	5	0	0.0
aggR/eae/espK/espN/stx1	5	0	0.0
aggR/eae/espK/espN/stx2	5	0	0.0
aggR/eae/espK/espN/subA	5	0	0.0
aggR/eae/espK/espN/ureD	5	0	0.0
aggR/eae/espK/espV/stx1	5	0	0.0
aggR/eae/espK/espV/stx2	5	0	0.0
aggR/eae/espK/espV/subA	5	0	0.0
aggR/eae/espK/espV/ureD	5	0	0.0
aggR/eae/espK/stx1/stx2	5	0	0.0
aggR/eae/espK/stx1/subA	5	0	0.0
aggR/eae/espK/stx1/ureD	5	0	0.0
aggR/eae/espK/stx2/subA	5	0	0.0
aggR/eae/espK/stx2/ureD	5	0	0.0
aggR/eae/espK/subA/ureD	5	0	0.0
aggR/eae/espN/espV/stx1	5	0	0.0
aggR/eae/espN/espV/stx2	5	0	0.0
aggR/eae/espN/espV/subA	5	0	0.0
aggR/eae/espN/espV/ureD	5	0	0.0
aggR/eae/espN/stx1/stx2	5	0	0.0
aggR/eae/espN/stx1/subA	5	0	0.0
aggR/eae/espN/stx1/ureD	5	0	0.0
